"";"x"
"1";4
"2";1
"3";2
"4";3
"5";1
"6";5
"7";5
"8";2
"9";2
"10";4
"11";2
"12";2
"13";4
"14";2
"15";2
"16";2
"17";4
"18";2
"19";2
"20";4
"21";4
"22";5
"23";6
"24";5
"25";5
"26";5
"27";1
"28";4
"29";5
"30";4
"31";5
"32";4
"33";5
"34";2
"35";5
"36";4
"37";5
"38";1
"39";2
"40";6
"41";4
"42";6
"43";6
"44";2
"45";2
"46";3
"47";6
"48";2
"49";3
"50";2
"51";4
"52";2
"53";4
"54";4
"55";4
"56";4
"57";2
"58";1
"59";5
"60";4
"61";4
"62";2
"63";4
"64";4
"65";6
"66";4
"67";4
"68";2
"69";2
"70";1
"71";4
"72";3
"73";5
"74";2
"75";5
"76";2
"77";4
"78";4
"79";5
"80";2
"81";5
"82";5
"83";5
"84";3
"85";3
"86";2
"87";5
"88";2
"89";2
"90";5
"91";2
"92";2
"93";4
"94";4
"95";4
"96";1
"97";2
"98";2
"99";5
"100";2
"101";2
"102";3
"103";6
"104";4
"105";2
"106";2
"107";6
"108";4
"109";1
"110";2
"111";4
"112";5
"113";4
"114";4
"115";4
"116";4
"117";4
"118";5
"119";5
"120";5
"121";4
"122";1
"123";1
"124";1
"125";1
"126";1
"127";6
"128";1
"129";3
"130";6
"131";1
"132";1
"133";1
"134";1
"135";1
"136";1
"137";1
"138";1
"139";1
"140";1
"141";3
"142";3
"143";3
"144";3
"145";6
"146";3
"147";6
"148";3
"149";6
"150";3
"151";3
"152";3
"153";3
"154";3
"155";3
"156";3
"157";3
"158";3
"159";2
"160";5
"161";3
"162";3
"163";3
"164";3
"165";3
"166";3
"167";3
"168";3
"169";1
"170";1
"171";2
"172";2
"173";3
"174";1
"175";6
"176";6
"177";6
"178";6
"179";1
"180";1
"181";3
"182";3
"183";3
"184";6
"185";3
"186";1
"187";6
"188";3
"189";3
"190";3
"191";3
"192";3
"193";5
"194";1
"195";3
"196";3
"197";3
"198";3
"199";6
"200";6
"201";4
"202";3
"203";6
"204";6
"205";3
"206";6
"207";6
"208";3
"209";3
"210";6
"211";6
"212";6
"213";3
"214";3
"215";6
"216";1
"217";6
"218";1
"219";1
"220";1
"221";1
"222";1
"223";1
"224";1
"225";1
"226";1
"227";1
"228";1
"229";1
"230";1
"231";1
"232";1
"233";3
"234";1
"235";1
"236";1
"237";1
"238";1
"239";3
"240";1
"241";2
"242";1
"243";1
"244";1
"245";1
"246";1
"247";5
"248";5
"249";2
"250";1
"251";1
"252";1
"253";1
"254";1
"255";1
"256";6
"257";5
"258";5
"259";1
"260";1
"261";1
"262";1
"263";1
"264";1
"265";1
"266";6
"267";1
"268";1
"269";6
"270";6
"271";6
"272";1
"273";1
"274";1
"275";1
"276";1
"277";1
"278";1
"279";4
"280";1
"281";2
"282";1
"283";1
"284";1
"285";1
"286";6
"287";6
"288";6
"289";6
"290";6
"291";6
"292";6
"293";6
"294";6
"295";6
"296";6
"297";6
"298";6
"299";6
"300";6
"301";6
"302";6
"303";6
"304";6
"305";4
"306";4
"307";6
"308";6
"309";3
"310";3
"311";3
"312";3
"313";3
"314";3
"315";3
"316";3
"317";3
"318";3
"319";3
"320";6
"321";5
"322";2
"323";5
"324";3
"325";6
"326";6
"327";3
"328";6
"329";6
"330";5
"331";5
"332";5
"333";5
"334";5
"335";5
"336";5
"337";5
"338";2
"339";3
"340";6
"341";6
"342";6
"343";4
"344";6
"345";3
"346";6
"347";6
"348";3
"349";3
"350";3
"351";6
"352";3
"353";3
"354";3
"355";6
"356";6
"357";3
"358";3
"359";6
"360";6
"361";6
"362";3
"363";3
"364";1
"365";6
"366";6
"367";6
"368";3
"369";6
"370";6
"371";6
"372";6
"373";2
"374";3
"375";2
"376";2
"377";4
"378";2
"379";2
"380";2
"381";2
"382";5
"383";2
"384";3
"385";2
"386";2
"387";2
"388";2
"389";2
"390";3
"391";3
"392";2
"393";2
"394";2
"395";2
"396";5
