"";"x"
"1";1
"2";3
"3";5
"4";2
"5";3
"6";1
"7";1
"8";5
"9";5
"10";1
"11";5
"12";5
"13";1
"14";5
"15";5
"16";5
"17";2
"18";5
"19";5
"20";1
"21";1
"22";4
"23";1
"24";2
"25";1
"26";1
"27";1
"28";5
"29";1
"30";3
"31";1
"32";1
"33";1
"34";1
"35";5
"36";1
"37";1
"38";1
"39";3
"40";5
"41";2
"42";1
"43";2
"44";2
"45";5
"46";5
"47";4
"48";2
"49";5
"50";4
"51";5
"52";1
"53";5
"54";1
"55";1
"56";1
"57";1
"58";5
"59";3
"60";1
"61";1
"62";1
"63";5
"64";5
"65";1
"66";2
"67";1
"68";1
"69";5
"70";5
"71";3
"72";1
"73";2
"74";1
"75";5
"76";1
"77";5
"78";1
"79";1
"80";5
"81";5
"82";1
"83";1
"84";1
"85";1
"86";2
"87";5
"88";1
"89";5
"90";5
"91";1
"92";5
"93";5
"94";1
"95";2
"96";5
"97";5
"98";5
"99";5
"100";1
"101";5
"102";5
"103";2
"104";2
"105";5
"106";5
"107";5
"108";2
"109";1
"110";3
"111";4
"112";5
"113";1
"114";1
"115";1
"116";1
"117";5
"118";1
"119";5
"120";1
"121";1
"122";1
"123";1
"124";3
"125";3
"126";3
"127";3
"128";3
"129";2
"130";3
"131";1
"132";2
"133";3
"134";3
"135";3
"136";3
"137";3
"138";3
"139";3
"140";3
"141";3
"142";3
"143";2
"144";2
"145";3
"146";3
"147";2
"148";2
"149";2
"150";2
"151";4
"152";2
"153";2
"154";2
"155";2
"156";2
"157";2
"158";2
"159";2
"160";2
"161";4
"162";5
"163";1
"164";3
"165";4
"166";1
"167";4
"168";2
"169";2
"170";4
"171";3
"172";3
"173";3
"174";5
"175";5
"176";3
"177";3
"178";2
"179";2
"180";2
"181";2
"182";4
"183";3
"184";3
"185";2
"186";2
"187";1
"188";2
"189";2
"190";3
"191";2
"192";4
"193";2
"194";4
"195";2
"196";2
"197";1
"198";2
"199";2
"200";2
"201";4
"202";2
"203";2
"204";2
"205";2
"206";2
"207";2
"208";2
"209";2
"210";4
"211";4
"212";2
"213";2
"214";2
"215";2
"216";2
"217";2
"218";2
"219";4
"220";4
"221";3
"222";2
"223";3
"224";2
"225";3
"226";3
"227";3
"228";3
"229";3
"230";3
"231";3
"232";3
"233";3
"234";3
"235";3
"236";3
"237";3
"238";3
"239";3
"240";3
"241";3
"242";3
"243";3
"244";3
"245";3
"246";5
"247";3
"248";5
"249";3
"250";3
"251";3
"252";3
"253";3
"254";1
"255";1
"256";5
"257";3
"258";3
"259";3
"260";3
"261";3
"262";3
"263";2
"264";1
"265";2
"266";3
"267";3
"268";3
"269";3
"270";3
"271";3
"272";3
"273";2
"274";3
"275";3
"276";2
"277";2
"278";2
"279";3
"280";3
"281";3
"282";3
"283";3
"284";3
"285";3
"286";1
"287";3
"288";5
"289";2
"290";3
"291";3
"292";3
"293";2
"294";2
"295";2
"296";2
"297";2
"298";2
"299";2
"300";2
"301";2
"302";2
"303";2
"304";2
"305";2
"306";2
"307";2
"308";2
"309";2
"310";2
"311";2
"312";2
"313";1
"314";2
"315";2
"316";2
"317";2
"318";4
"319";4
"320";4
"321";4
"322";4
"323";4
"324";4
"325";4
"326";4
"327";4
"328";4
"329";4
"330";4
"331";4
"332";4
"333";4
"334";4
"335";4
"336";4
"337";4
"338";4
"339";4
"340";4
"341";4
"342";4
"343";4
"344";4
"345";4
"346";4
"347";4
"348";4
"349";4
"350";4
"351";4
"352";4
"353";4
"354";2
"355";4
"356";4
"357";4
"358";4
"359";4
"360";4
"361";4
"362";4
"363";4
"364";4
"365";4
"366";4
"367";2
"368";2
"369";1
"370";5
"371";1
"372";4
"373";2
"374";2
"375";2
"376";4
"377";4
"378";4
"379";2
"380";2
"381";4
"382";1
"383";1
"384";1
"385";1
"386";1
"387";1
"388";1
"389";1
"390";4
"391";5
"392";4
"393";2
"394";2
"395";2
"396";1
"397";2
"398";4
"399";2
"400";4
"401";2
"402";4
"403";2
"404";4
"405";4
"406";2
"407";2
"408";2
"409";4
"410";2
"411";2
"412";2
"413";2
"414";4
"415";4
"416";4
"417";4
"418";4
"419";4
"420";4
"421";4
"422";2
"423";2
"424";2
"425";4
"426";4
"427";2
"428";4
"429";4
"430";3
"431";2
"432";2
"433";2
"434";4
"435";4
"436";4
"437";4
"438";2
"439";2
"440";2
"441";2
"442";2
"443";5
"444";4
"445";5
"446";5
"447";1
"448";5
"449";5
"450";5
"451";5
"452";1
"453";5
"454";2
"455";5
"456";5
"457";5
"458";5
"459";5
"460";5
"461";4
"462";5
"463";5
"464";5
"465";5
"466";1
